必	16846
与	21906
之	219712
揖让	71
而后	1115
及	9898
爵	2334
者	63987
天子	2252
有	49251
善	8302
让	1182
德	6282
于	67701
天	7411
诸侯	3797
归	5526
诸	4470
卿	882
大夫	2403
荐	724
士	4911
庶人	213
本	2416
老子	321
曰	76793
君子	2822
道	12347
静	816
以	85980
修	1507
身	6123
俭	239
养	2273
生	10371
即	3235
下	10912
不	128484
扰	140
民	14543
怨	1913
政	3108
乱	4628
薄	1077
贤者	412
为	59946
谋	2832
仲尼	333
□	14929
入	9473
而	107213
藏	1557
出	10797
阳	1857
柴	82
立	10506
其	84411
中央	93
三	13998
若	9304
得	18728
名	5062
极	1425
夫	11832
畏	1554
涂	477
十	13228
杀	6893
一	17966
人	39357
则	42991
父子	288
兄弟	461
相	10393
戒	697
也	109779
今	10746
富人	38
大贾	9
屋壁	1
帝服	1
贾妇	1
优倡	4
下贱	2
产子	3
后饰	1
然而	521
天下	6430
屈	407
殆	608
未	7704
且	5385
帝	2199
自	12682
衣	1689
皁绨	1
靡贾	1
楚	8993
蕃	70
王室	95
王事	59
无	31730
旷	94
何	12683
常	2802
遂	5604
使	18038
印段	9
如	10150
周	3418
吴	2700
伐	7341
获	1335
俘	76
焉	10560
阍	44
守	4264
舟	471
吴子馀祭	4
观	3334
刀	148
弑	1215
孙卿子	14
然	6111
臣	12867
所	30714
仁者	138
兵	7400
王者	356
志	2645
贵	3360
权谋	24
埶利	3
行	16272
攻夺	4
变诈	7
事	13680
仁人	127
子	15099
以为	990
泰	103
乎	16895
否	437
食	6064
可	20531
通	3112
功	4437
易	3996
羡	12
补	675
足	4999
农	552
馀粟	5
女	2247
馀布	1
六	4042
□上	18
尊	2434
卑	920
小	2356
上	14270
恣	141
轻	2046
小物	25
知	17687
上下	657
非	12977
楚王	500
怒	2551
秦	10136
诈	560
我	10621
又	5814
彊	1546
要	907
地	6866
复	5836
许	1832
因	5115
留	1209
大臣	396
患	2564
乃	12862
相与	242
吾	11263
王	14168
在	12535
还	1964
割	745
待	2582
物	4276
正	4250
文王	614
主听	2
如何	112
太公	326
勿	2286
妄	527
逆	1921
拒	105
失	6027
闭塞	28
高山	46
仰	558
止	3685
深渊	44
度	1874
量	646
吏禄	1
官用	2
赋	615
山川	171
园池	7
市井	18
租税	17
至	13858
封君	12
汤沐	22
邑	1048
皆	11485
各	2788
私	1706
奉养	11
领	178
若然	28
用	11198
愚	649
彻	438
穷	1678
辱	1112
移	766
是	15647
蜩	18
学鸠	2
同	5048
蹍	13
市人	21
辞	3720
子弓	5
故	27844
俗人	11
俗儒	7
雅儒	6
